territory,n,inite,Basic.Reproduction.Number,th,rmse,points,aic,bic,,,,
Region3,1.23E+07,2206,2.5,21,0.8260382,0.631578947,12.8465524,19.3968971,,,,
Region3,1.23E+07,1103,2.5,21,0.8124039,0.605263158,12.7704736,19.3208182,,,,
Region3,1.23E+07,4412,3,21,0.98685,0.842105263,12.66239,19.21273,,,,
Region3,1.23E+07,3309,3,21,0.8288103,0.789473684,12.5124948,19.0628395,,,,
Region3,1.23E+07,2206,3,21,0.7664104,0.763157895,12.4150221,18.9653667,,,,
Region3,1.23E+07,1103,3,21,0.9195841,0.921052632,12.5431501,19.0934947,,,,
Region4A,1.64E+07,4412,2.5,7,2.103294,0.342105263,14.295005,21.050523,1.785064,0.236842105,14.0443445,20.7998625
Region4A,1.64E+07,3309,2.5,7,1.994485,0.289473684,13.972366,20.727884,1.799081917,0.269736842,14.14167463,20.89719238
Region4A,1.64E+07,2206,2.5,7,1.829884,0.236842105,15.302894,22.058412,1.843911,0.355263158,14.485824,21.241342
Region4A,1.64E+07,1103,2.5,7,1.653415,0.421052632,13.93936,20.694878,,,,
Region4A,1.64E+07,4412,3,7,1.82553,0.157894737,13.80762,20.56314,,,,
Region4A,1.64E+07,3309,3,7,1.730028,0.210526316,13.51159,20.267108,,,,
Region4A,1.64E+07,2206,3,7,1.666412,0.447368421,14.397122,21.15264,,,,
Region4A,1.64E+07,1103,3,7,1.730371,0.578947368,15.989714,22.745232,,,,
Region4A,1.64E+07,4412,2.5,14,2.161602,0.184210526,14.491734,21.247252,,,,
Region4A,1.64E+07,3309,2.5,14,1.937567,0.263157895,14.109449,20.864967,,,,
Region4A,1.64E+07,2206,2.5,14,1.788377,0.131578947,15.266186,22.021704,,,,
Region4A,1.64E+07,1103,2.5,14,1.606064,0.236842105,14.278673,21.03419,,,,
Region4A,1.64E+07,4412,3,14,1.902072,0.157894737,14.558891,21.314408,,,,
Region4A,1.64E+07,3309,3,14,1.80846,0.473684211,13.74577,20.50129,,,,
Region4A,1.64E+07,2206,3,14,1.63759,0.315789474,14.08558,20.84109,,,,
Region4A,1.64E+07,1103,3,14,1.484307,0.342105263,13.147448,19.902966,,,,
Region4A,1.64E+07,4412,2.5,21,2.251503,0.289473684,14.59495,21.350468,,,,
Region4A,1.64E+07,3309,2.5,21,1.987293,0.157894737,14.083277,20.838795,,,,
Region4A,1.64E+07,2206,2.5,21,1.779198,0.131578947,13.68333,20.438848,,,,
Region4A,1.64E+07,1103,2.5,21,1.566513,0.210526316,13.844528,20.600046,,,,
Region4A,1.64E+07,4412,3,21,1.928688,0.184210526,14.005412,20.76093,,,,
Region4A,1.64E+07,3309,3,21,1.781751,0.210526316,13.691836,20.447354,,,,
Region4A,1.64E+07,2206,3,21,1.587243,0.210526316,13.615522,20.37104,,,,
Region4A,1.64E+07,1103,3,21,1.436319,0.289473684,12.981934,19.737452,,,,
Region6,7.98E+06,1417,2.5,7,1.309712,0.357142857,13.417098,18.745917,1.685933,0.446428572,13.8931445,19.2219625
Region6,7.98E+06,1063,2.5,7,1.33446,0.526315789,13.35488,18.68369,1.567114792,0.436168546,13.74241708,19.071235
Region6,7.98E+06,709,2.5,7,1.207592,0.5,13.067545,18.396363,1.4958185,0.464285714,13.604533,18.933351
Region6,7.98E+06,354,2.5,7,1.819217,0.285714286,14.413139,19.741957,,,,
Region6,7.98E+06,1417,3,7,1.322052,0.714285714,13.263471,18.592289,,,,
Region6,7.98E+06,1063,3,7,1.235717,0.607142857,13.178265,18.507083,,,,
Region6,7.98E+06,709,3,7,1.756812,0.392857143,14.173526,19.502344,,,,
Region6,7.98E+06,354,3,7,1.118581,0.678571429,12.750741,18.079559,,,,
Region6,7.98E+06,1417,2.5,14,1.777016,0.535714286,14.458325,19.787143,,,,
Region6,7.98E+06,1063,2.5,14,1.813328,0.464285714,14.229627,19.558445,,,,
Region6,7.98E+06,709,2.5,14,1.777049,0.357142857,14.186909,19.515727,,,,
Region6,7.98E+06,354,2.5,14,1.143188,0.535714286,12.933067,18.261885,,,,
Region6,7.98E+06,1417,3,14,1.73884,0.535714286,14.20896,19.53778,,,,
Region6,7.98E+06,1063,3,14,1.746812,0.428571429,14.176838,19.505656,,,,
Region6,7.98E+06,709,3,14,1.672828,0.357142857,13.91964,19.248458,,,,
Region6,7.98E+06,354,3,14,1.676072,0.263157895,13.66755,18.996368,,,,
Region6,7.98E+06,1417,2.5,21,1.739181,0.392857143,13.989011,19.317829,,,,
Region6,7.98E+06,1063,2.5,21,1.728347,0.214285714,13.930712,19.25953,,,,
Region6,7.98E+06,709,2.5,21,1.873056,0.464285714,14.434933,19.763751,,,,
Region6,7.98E+06,354,2.5,21,1.140112,0.5,12.857424,18.186243,,,,
Region6,7.98E+06,1417,3,21,1.721292,0.464285714,13.991823,19.320641,,,,
Region6,7.98E+06,1063,3,21,1.695794,0.357142857,13.866649,19.195467,,,,
Region6,7.98E+06,709,3,21,1.655967,0.285714286,13.695467,19.024285,,,,
Region6,7.98E+06,354,3,21,1.60773,0.25,13.65241,18.98123,,,,
Region7,6.59E+06,1417,2.5,7,3.728835,0.236842105,21.023609,27.573953,3.405295,0.223684211,19.728649,26.278996
Region7,6.59E+06,1063,2.5,7,3.659449,0.210526316,21.114138,27.664483,3.366147375,0.263157895,19.65202671,26.20237117
Region7,6.59E+06,709,2.5,7,3.486295,0.184210526,20.203479,26.753823,3.353555,0.342105263,19.341073,25.8914175
Region7,6.59E+06,354,2.5,7,3.255767,0.210526316,19.21301,25.763355,,,,
Region7,6.59E+06,1417,3,7,3.655399,0.289473684,20.992564,27.542908,,,,
Region7,6.59E+06,1063,3,7,3.549604,0.342105263,20.432174,26.982519,,,,
Region7,6.59E+06,709,3,7,3.421322,0.210526316,20.12653,26.676874,,,,
Region7,6.59E+06,354,3,7,3.24962,0.184210526,19.34142,25.89176,,,,
Region7,6.59E+06,1417,2.5,14,3.646926,0.394736842,20.977513,27.527858,,,,
Region7,6.59E+06,1063,2.5,14,3.515179,0.157894737,20.471817,27.022162,,,,
Region7,6.59E+06,709,2.5,14,3.35011,0.184210526,19.6137,26.16405,,,,
Region7,6.59E+06,354,2.5,14,2.978275,0.526315789,17.568008,24.118352,,,,
Region7,6.59E+06,1417,3,14,3.590096,0.210526316,20.784529,27.334874,,,,
Region7,6.59E+06,1063,3,14,3.419885,0.342105263,19.843598,26.393942,,,,
Region7,6.59E+06,709,3,14,3.289822,0.236842105,19.503206,26.05355,,,,
Region7,6.59E+06,354,3,14,3.049662,0.210526316,17.803019,24.353363,,,,
Region7,6.59E+06,1417,2.5,21,3.509174,0.210526316,20.138685,26.68903,,,,
Region7,6.59E+06,1063,2.5,21,3.390705,0.263157895,19.403914,25.954258,,,,
Region7,6.59E+06,709,2.5,21,3.224497,0.157894737,19.297843,25.848188,,,,
Region7,6.59E+06,354,2.5,21,2.984995,0.289473684,18.419136,24.96948,,,,
Region7,6.59E+06,1417,3,21,3.479482,0.263157895,19.953312,26.503656,,,,
Region7,6.59E+06,1063,3,21,3.179305,0.5,18.309294,24.859638,,,,
Region7,6.59E+06,709,3,21,3.187988,0.157894737,19.128362,25.678707,,,,
Region7,6.59E+06,354,3,21,2.985145,0.342105263,17.985781,24.536125,,,,
