DateRepConf,Count
3/9/21,2661
3/10/21,2880
3/11/21,3738
3/12/21,4569
3/13/21,4984
3/14/21,4875
3/15/21,5383
3/16/21,4412
3/17/21,4370
3/18/21,5264
3/19/21,7076
3/20/21,7977
3/21/21,7711
3/22/21,7993
3/23/21,5843
3/24/21,6639
3/25/21,8744
3/26/21,9792
3/27/21,9533
3/28/21,9446
3/29/21,9973
3/30/21,9250
3/31/21,6101
4/1/21,8883
4/2/21,15280
4/3/21,12557
4/4/21,11015
4/5/21,8343
4/6/21,9352
4/7/21,6403
4/8/21,9195
4/9/21,12200
4/10/21,12658
4/11/21,11656
4/12/21,11354
4/13/21,8549
4/14/21,8100
4/15/21,11401
4/16/21,10691
4/17/21,11082
4/18/21,10076
4/19/21,9614
4/20/21,7364
4/21/21,9202
4/22/21,8752
4/23/21,8693
4/24/21,9641
4/25/21,8142
4/26/21,8908
4/27/21,7195
4/28/21,6878
4/29/21,8248
4/30/21,8730
5/1/21,9210
5/2/21,8335
5/3/21,7250
5/4/21,5668
5/5/21,5679
5/6/21,6629
5/7/21,7725
5/8/21,6960
5/9/21,7163
5/10/21,6832
5/11/21,4725
5/12/21,4835
5/13/21,6349
5/14/21,6773
5/15/21,6728
5/16/21,5782
5/17/21,5972
5/18/21,4486
5/19/21,4697
5/20/21,6097
5/21/21,6254
5/22/21,6823
5/23/21,3080
5/24/21,4970
5/25/21,3967
5/26/21,5301
5/27/21,6479
5/28/21,8743
5/29/21,7439
5/30/21,7054
5/31/21,6679
6/1/21,5175
6/2/21,5235
6/3/21,7214
6/4/21,7447
6/5/21,6951
6/6/21,7226
6/7/21,6539
