Entity,Code,Day,stringency_index
Philippines,PHL,2020-07-06,83.33
Philippines,PHL,2020-07-07,80.56
Philippines,PHL,2020-07-08,80.56
Philippines,PHL,2020-07-09,80.56
Philippines,PHL,2020-07-10,80.56
Philippines,PHL,2020-07-11,80.56
Philippines,PHL,2020-07-12,80.56
Philippines,PHL,2020-07-13,80.56
Philippines,PHL,2020-07-14,80.56
Philippines,PHL,2020-07-15,80.56
Philippines,PHL,2020-07-16,80.56
Philippines,PHL,2020-07-17,80.56
Philippines,PHL,2020-07-18,80.56
Philippines,PHL,2020-07-19,80.56
Philippines,PHL,2020-07-20,80.56
Philippines,PHL,2020-07-21,80.56
Philippines,PHL,2020-07-22,80.56
Philippines,PHL,2020-07-23,76.85
Philippines,PHL,2020-07-24,76.85
Philippines,PHL,2020-07-25,76.85
Philippines,PHL,2020-07-26,76.85
Philippines,PHL,2020-07-27,76.85
Philippines,PHL,2020-07-28,76.85
Philippines,PHL,2020-07-29,76.85
Philippines,PHL,2020-07-30,76.85
Philippines,PHL,2020-07-31,76.85
Philippines,PHL,2020-08-01,76.85
Philippines,PHL,2020-08-02,76.85
Philippines,PHL,2020-08-03,79.63
Philippines,PHL,2020-08-04,79.63
Philippines,PHL,2020-08-05,79.63
Philippines,PHL,2020-08-06,79.63
Philippines,PHL,2020-08-07,79.63
Philippines,PHL,2020-08-08,79.63
Philippines,PHL,2020-08-09,79.63
Philippines,PHL,2020-08-10,79.63
Philippines,PHL,2020-08-11,79.63
Philippines,PHL,2020-08-12,79.63
Philippines,PHL,2020-08-13,79.63
Philippines,PHL,2020-08-14,79.63
Philippines,PHL,2020-08-15,76.85
Philippines,PHL,2020-08-16,76.85
Philippines,PHL,2020-08-17,76.85
Philippines,PHL,2020-08-18,75.46
Philippines,PHL,2020-08-19,71.76
Philippines,PHL,2020-08-20,71.76
Philippines,PHL,2020-08-21,71.76
Philippines,PHL,2020-08-22,71.76
Philippines,PHL,2020-08-23,71.76
Philippines,PHL,2020-08-24,71.76
Philippines,PHL,2020-08-25,68.98
Philippines,PHL,2020-08-26,68.98
Philippines,PHL,2020-08-27,68.98
Philippines,PHL,2020-08-28,68.98
Philippines,PHL,2020-08-29,68.98
Philippines,PHL,2020-08-30,68.98
Philippines,PHL,2020-08-31,68.98
Philippines,PHL,2020-09-01,68.98
Philippines,PHL,2020-09-02,68.98
Philippines,PHL,2020-09-03,68.98
Philippines,PHL,2020-09-04,68.98
Philippines,PHL,2020-09-05,68.98
Philippines,PHL,2020-09-06,68.98
